Conformer,C22_Distance_Angstroms
docosanyl_ferulate_conf1.sdf,33.3319
docosanyl_ferulate_conf2.sdf,30.1937
docosanyl_ferulate_conf3.sdf,30.1937
docosanyl_ferulate_conf4.sdf,31.8614
docosanyl_ferulate_conf5.sdf,31.8614
docosanyl_ferulate_conf6.sdf,31.3479
docosanyl_ferulate_conf7.sdf,27.1845
docosanyl_ferulate_conf8.sdf,27.4016
docosanyl_ferulate_conf9.sdf,28.9566
docosanyl_ferulate_conf10.sdf,28.9567
docosanyl_ferulate_conf11.sdf,27.3006
docosanyl_ferulate_conf12.sdf,27.3007
docosanyl_ferulate_conf13.sdf,31.6547
docosanyl_ferulate_conf14.sdf,31.6547
docosanyl_ferulate_conf15.sdf,28.2639
docosanyl_ferulate_conf16.sdf,28.2640
docosanyl_ferulate_conf17.sdf,27.9884
docosanyl_ferulate_conf18.sdf,27.9884
